period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
EVALUATION,c1,benchmark_retained,aep_pml,500,9588988.64585183,2000,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,2500,32886694.831614256,400,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,5000,68885695.744341299,200,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,10000,100853284.05931102,100,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,50000,150216888.12065345,20,True,1000000
EVALUATION,c1,benchmark_retained,aep_pml,100000,174332373.34537524,10,False,1000000
EVALUATION,c1,benchmark_retained,aep_pml,1000000,203397545.69524127,1,False,1000000
EVALUATION,c1,benchmark_retained,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,c1,benchmark_retained,tvar,0.98999999999999999,6408463.1963031422,10001,True,1000000
EVALUATION,c1,benchmark_retained,tvar_minus_mean,0.98999999999999999,6344372.155876914,10001,True,1000000
EVALUATION,c1,benchmark_retained,var,0.995,0,5001,True,1000000
EVALUATION,c1,benchmark_retained,tvar,0.995,12815644.956254296,5001,True,1000000
EVALUATION,c1,benchmark_retained,tvar_minus_mean,0.995,12751553.915828068,5001,True,1000000
EVALUATION,c1,cash_net,aep_pml,100,0,10000,True,1000000
EVALUATION,c1,cash_net,aep_pml,250,0,4000,True,1000000
EVALUATION,c1,cash_net,aep_pml,500,385370.68441025086,2000,True,1000000
EVALUATION,c1,cash_net,aep_pml,1000,20977139.74912148,1000,True,1000000
EVALUATION,c1,cash_net,aep_pml,2500,67931687.045710355,400,True,1000000
EVALUATION,c1,cash_net,aep_pml,5000,103768149.45453766,200,True,1000000
EVALUATION,c1,cash_net,aep_pml,10000,132197332.48392275,100,True,1000000
EVALUATION,c1,cash_net,aep_pml,50000,179888235.64314136,20,True,1000000
EVALUATION,c1,cash_net,aep_pml,100000,205251365.00283432,10,False,1000000
EVALUATION,c1,cash_net,aep_pml,1000000,234316537.35270035,1,False,1000000
EVALUATION,c1,cash_net,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,c1,cash_net,tvar,0.98999999999999999,7605256.0672209617,10001,True,1000000
EVALUATION,c1,cash_net,tvar_minus_mean,0.98999999999999999,7548532.1565233842,10001,True,1000000
EVALUATION,c1,cash_net,var,0.995,0,5001,True,1000000
EVALUATION,c1,cash_net,tvar,0.995,15208991.387377892,5001,True,1000000
EVALUATION,c1,cash_net,tvar_minus_mean,0.995,15152267.476680314,5001,True,1000000
EVALUATION,c1,unfunded,aep_pml,100,0,10000,True,1000000
EVALUATION,c1,unfunded,aep_pml,250,0,4000,True,1000000
EVALUATION,c1,unfunded,aep_pml,500,385370.68441025086,2000,True,1000000
EVALUATION,c1,unfunded,aep_pml,1000,20977139.74912148,1000,True,1000000
EVALUATION,c1,unfunded,aep_pml,2500,67931687.045710355,400,True,1000000
EVALUATION,c1,unfunded,aep_pml,5000,103768149.45453766,200,True,1000000
EVALUATION,c1,unfunded,aep_pml,10000,132197332.48392275,100,True,1000000
EVALUATION,c1,unfunded,aep_pml,50000,179888235.64314136,20,True,1000000
EVALUATION,c1,unfunded,aep_pml,100000,205251365.00283432,10,False,1000000
EVALUATION,c1,unfunded,aep_pml,1000000,234316537.35270035,1,False,1000000
EVALUATION,c1,unfunded,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,c1,unfunded,tvar,0.98999999999999999,7605256.0672209617,10001,True,1000000
EVALUATION,c1,unfunded,tvar_minus_mean,0.98999999999999999,7529195.9012926845,10001,True,1000000
EVALUATION,c1,unfunded,var,0.995,0,5001,True,1000000
EVALUATION,c1,unfunded,tvar,0.995,15208991.387377892,5001,True,1000000
EVALUATION,c1,unfunded,tvar_minus_mean,0.995,15132931.221449615,5001,True,1000000
EVALUATION,c2,gross,aep_pml,100,0,10000,True,1000000
EVALUATION,c2,gross,aep_pml,250,0,4000,True,1000000
EVALUATION,c2,gross,aep_pml,500,9522435.0080813095,2000,True,1000000
EVALUATION,c2,gross,aep_pml,1000,44193371.423236094,1000,True,1000000
EVALUATION,c2,gross,aep_pml,2500,95697386.695162758,400,True,1000000
EVALUATION,c2,gross,aep_pml,5000,131032021.15468691,200,True,1000000
EVALUATION,c2,gross,aep_pml,10000,160486047.64948535,100,True,1000000
EVALUATION,c2,gross,aep_pml,50000,213110156.25839648,20,True,1000000
EVALUATION,c2,gross,aep_pml,100000,236746495.32422763,10,False,1000000
EVALUATION,c2,gross,aep_pml,1000000,271283110.12958753,1,False,1000000
EVALUATION,c2,gross,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,c2,gross,tvar,0.98999999999999999,12362433.816065775,10001,True,1000000
EVALUATION,c2,gross,tvar_minus_mean,0.98999999999999999,12238797.115471302,10001,True,1000000
EVALUATION,c2,gross,var,0.995,0,5001,True,1000000
EVALUATION,c2,gross,tvar,0.995,24722395.639766809,5001,True,1000000
EVALUATION,c2,gross,tvar_minus_mean,0.995,24598758.939172335,5001,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,100,0,10000,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,250,0,4000,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,500,9522435.0080813095,2000,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,2500,33972233.628040656,400,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,5000,68891924.522292942,200,True,1000000
EVALUATION,c2,benchmark_retained,aep_pml,10000,98562831.819533214,100,True,1000000
